"# Program:featureCounts v1.5.1; Command:""featureCounts"" ""-p"" ""-T"" ""4"" ""-C"" ""-t"" ""transcript"" ""-g"" ""gene_name"" ""-a"""						
Geneid	Chr	Start	End	Strand	Length	F8
Cspp1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10038218;10038235;10038262;10039773;10039773;10039785;10039823;10040155;10056924;10074860;10087747;10115425;10125984;10129959;10133970	10136768;10060459;10067118;10068333;10067976;10067102;10059991;10058823;10066575;10084073;10090317;10116731;10130018;10133461;10136322	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	98551	0
Arfgef1	1;1;1;1;1	10137571;10147405;10156399;10160757;10173075	10232670;10154530;10160060;10161306;10232670	-;-;-;-;-	95100	0
Gm26348	1	10166539	10166778	+	240	0
Cpa6	1;1;1;1	10324720;10324727;10472475;10595366	10719945;10719945;10477823;10719905	-;-;-;-	395226	0
Gm15604	1	10554098	10555553	-	1456	0
Gm25253	1	10555554	10555660	-	107	0
Gm15603	1	10695123	10695614	+	492	0
Gm22963	1	10921670	10921760	+	91	0
Prex2	1	10993465	11303682	+	310218	0
Gm24173	1	11134111	11134238	-	128	0
A830018L16Rik	1;1;1;1;1;1;1;1;1	11414105;11414105;11414112;11414112;11414112;11414112;11414112;11414112;11518671	11975901;11601811;11537707;11933740;11518709;11537707;11975901;11601821;11599993	+;+;+;+;+;+;+;+;+	561797	0
Gm22633	1	12374936	12375042	+	107	0
mmu-mir-6341	1	12425986	12426106	+	121	0
Gm2383	1	12565577	12566383	+	807	0
Gm6216	1	12655867	12656553	+	687	0
Gm17644	1	12667563	12673090	+	5528	0
Sulf1	1;1;1	12692430;12692430;12718545	12860371;12860371;12860371	+;+;+	167942	0
Slco5a1	1;1;1;1;1;1	12866549;12871348;12878595;12879683;12879683;12881330	12991177;12991177;12991135;12990914;12990914;12925043	-;-;-;-;-;-	124629	0
Gm5250	1	13062019	13062348	+	330	0
Prdm14	1	13113457	13127163	-	13707	0
Ncoa2	1;1;1;1;1;1;1;1;1;1	13139105;13139159;13142475;13146599;13148429;13164501;13165925;13182284;13184606;13190106	13372439;13374083;13374083;13148507;13151018;13374083;13374029;13372429;13374029;13299722	-;-;-;-;-;-;-;-;-;-	234979	0
AC121538.1	1	13262198	13262279	+	82	0
Gm23169	1	13334498	13334609	-	112	0
Tram1	1	13564702	13589864	-	25163	0
Lactb2	1;1	13624845;13629995	13660546;13638411	-;-	35702	0
Xkr9	1	13668771	13701723	+	32953	0
Gm26273	1	13774334	13774464	-	131	0
Gm5523	1	13785883	13786879	-	997	0
Gm25491	1	13932378	13932685	+	308	0
Eya1	1;1;1	14168954;14168954;14168959	14310200;14283331;14310199	-;-;-	141247	0
Gm22616	1	14182578	14182677	+	100	0
Msc	1	14753346	14755966	-	2621	0
Gm9947	1	14755454	14758373	+	2920	0
Smt3h2-ps4	1	14839869	14840156	-	288	0
Rpl5-ps1	1	14865072	14865965	+	894	0
Trpa1	1	14872648	14918862	-	46215	0
Gm26345	1	15019040	15019159	-	120	0
Gm10566	1	15268799	15269797	-	999	0
Kcnb2	1;1;1	15287259;15312452;15712303	15714295;15711629;15716367	+;+;+	429109	0
Gm25227	1	15685935	15686046	-	112	0
Gm25168	1	15757832	15757963	+	132	0
Terf1	1	15805658	15843428	+	37771	0
Sbspon	1	15853862	15892722	-	38861	0
Gm23259	1	15879530	15879832	+	303	0
4930444P10Rik	1;1;1	16065979;16065979;16065979	16081212;16093325;16093325	-;-;-	27347	0
Rpl7	1;1;1;1;1;1	16101295;16101295;16101306;16101528;16101780;16102491	16102082;16104662;16104402;16102848;16104227;16104384	-;-;-;-;-;-	3368	0
Rdh10	1;1	16105774;16130502	16133734;16132547	+;+	27961	0
Stau2	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	16228674;16228801;16228804;16228810;16228816;16343407;16343486;16343571;16344198;16344291;16344299;16345594;16394143;16440442;16459715;16460104;16460213	16519306;16519228;16519228;16519306;16520112;16519211;16519247;16520067;16375395;16519240;16519253;16519307;16519270;16520080;16519260;16520021;16520020	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	291439	0
Gm7568	1;1;1	16253592;16253592;16253629	16267921;16258861;16258857	+;+;+	14330	0
Ube2w	1;1;1;1;1;1;1	16540790;16564338;16569406;16569782;16581936;16584158;16601979	16619312;16585398;16619286;16619489;16619259;16619284;16619284	-;-;-;-;-;-;-	78700	0
Tceb1	1	16642766	16656865	-	14100	0
D030040B21Rik	1	16657552	16662278	+	4727	0
Tmem70	1;1;1;1	16665207;16665210;16665210;16665236	16678195;16677215;16678275;16665811	+;+;+;+	13069	0
Ly96	1	16688456	16709605	+	21150	0
Gm5828	1	16768270	16770138	-	1869	0
Jph1	1	16994938	17097889	-	102952	0
Gdap1	1;1	17145362;17145404	17164271;17158744	+;+	18910	0
Gm25166	1	17520001	17520111	+	111	0
Pi15	1	17601901	17630938	+	29038	0
Gm16070	1;1;1	17676027;17692904;17724984	17727284;17727646;17727255	-;-;-	51620	0
Crispld1	1;1;1	17727045;17727059;17727088	17765575;17745893;17766344	+;+;+	39300	0
Crisp4	1;1;1;1	18115191;18115191;18115204;18115600	18145896;18145902;18137051;18145902	-;-;-;-	30712	0
Defb44-ps	1	18210053	18223564	-	13512	0
Defb18	1	18236473	18237443	-	971	0
Defb41	1	18250980	18265138	-	14159	0
Gm15386	1	18260524	18265080	-	4557	0
Gm24075	1	18969762	18969833	-	72	0
Gm15825	1	19063299	19104840	-	41542	0
Tfap2d	1;1	19103022;19107181	19166346;19148367	+;+	63325	0
Gm10075	1;1	19153310;19153422	19153966;19153966	-;-	657	0
Tfap2b	1;1	19208914;19212054	19238734;19238734	+;+	29821	0
Gm24633	1	19513855	19513919	-	65	0
Gm25568	1	19921310	19921399	-	90	0
Pkhd1	1;1;1;1	20057779;20374722;20592953;20606297	20618064;20409448;20618064;20618040	-;-;-;-	560286	0
4930486I03Rik	1	20381093	20392300	+	11208	0
Gm15795	1	20444258	20444560	-	303	0
Gm24162	1	20444811	20444912	-	102	0
Mir206	1	20679010	20679082	+	73	0
Mir133b	1	20682769	20682887	+	119	0
Il17a	1	20730905	20734496	+	3592	0
Il17f	1	20777151	20784270	-	7120	0
Mcm3	1	20802974	20820278	-	17305	0
Gm24723	1	20842535	20842666	-	132	0
6720483E21Rik	1	20888650	20890473	-	1824	0
Paqr8	1;1	20890622;20917874	20938755;20935749	+;+	48134	0
Gm24171	1	20915410	20915540	-	131	0
Efhc1	1;1	20951626;20951688	20955527;20990838	+;+	39213	0
Tram2	1	20996296	21079229	-	82934	0
Tmem14a	1;1	21218575;21218662	21230167;21230164	+;+	11593	0
Gsta3	1;1;1	21240589;21240607;21240629	21265361;21265021;21262924	+;+;+	24773	0
Gm7094	1	21272338	21273082	+	745	0
Gm4956	1;1;1	21285246;21285608;21289985	21298312;21298127;21298247	-;-;-	13067	0
Gm21909	1	21312517	21316320	-	3804	0
Khdc1a	1	21349641	21352200	+	2560	0
Gm16329	1	21354005	21355116	+	1112	0
Gm16327	1	21364803	21365030	+	228	0
Khdc1c	1	21368331	21370845	+	2515	0
Gm2709	1	21372670	21373764	+	1095	0
Gm16533	1	21379555	21379782	+	228	0
Khdc1b	1	21383556	21386373	+	2818	0
Gm16328	1	21390906	21391101	+	196	0
Kcnq5	1;1;1;1;1;1;1	21398403;21398408;21402163;21402163;21402163;21466245;21577644	21961581;21961942;21961581;21961581;21961581;21961665;21855902	-;-;-;-;-;-;-	563540	0
Gm7658	1;1	21511870;21511933	21513127;21513056	-;-	1258	0
Gm26580	1	21959842	21962530	+	2689	0
Rims1	1;1;1;1;1;1;1	22286251;22286251;22286251;22286251;22286251;22286915;22533955	22805724;22805724;22805724;22805724;22805724;22315805;22805994	-;-;-;-;-;-;-	519744	0
Gm26866	1	22740764	22741565	+	802	0
4933415F23Rik	1	23100473	23102253	-	1781	0
Gm24176	1	23245211	23245331	+	121	0
Gm6420	1	23255987	23256406	-	420	0
Mir30a	1	23272264	23272345	+	82	0
Gm27028	1	23291537	23291935	+	399	0
Mir30c-2	1	23291701	23291784	+	84	0
Ogfrl1	1	23366424	23383175	-	16752	0
Gm7784	1	23479539	23480527	+	989	0
B3gat2	1;1;1	23761753;23761926;23762011	23815740;23849158;23815739	+;+;+	87406	0
Smap1	1;1;1;1;1;1;1	23844846;23845625;23846178;23846296;23848280;23848533;23848795	23909736;23922317;23847777;23909689;23869974;23909703;23891994	-;-;-;-;-;-;-	77472	0
1110058L19Rik	1;1	23995939;24002966	24005656;24005630	-;-	9718	0
Gm26524	1	24005505	24005894	+	390	0
Fam135a	1	24010758	24100341	-	89584	0
Gm26607	1	24125275	24126141	+	867	0
Col9a1	1;1;1;1	24177610;24195187;24197017;24229517	24252684;24252684;24220785;24230955	+;+;+;+	75075	0
Col19a1	1;1;1	24261890;24263994;24279770	24452745;24587472;24587411	-;-;-	325583	0
Gm26418	1	24548841	24548977	-	137	0
Gm10222	1	24612404	24612700	-	297	0
Lmbrd1	1	24678544	24766299	+	87756	0
Bai3	1;1;1;1;1;1;1;1;1	25067476;25067550;25067550;25067550;25067678;25067691;25091454;25131252;25218035	25228826;25829707;25826139;25829511;25826760;25229100;25229046;25204723;25228827	-;-;-;-;-;-;-;-;-	762232	0
Gm15702	1	25223730	25224173	+	444	0
Gm22260	1	25279445	25279551	-	107	0
Gm25294	1	25451071	25451174	+	104	0
Gm9884	1	25830657	25831878	+	1222	0
Gm24064	1	26566833	26566938	+	106	0
4931408C20Rik	1	26681814	26687460	-	5647	0
n-R5s209	1	26959103	26959221	-	119	0
Gm7846	1	28580498	28580768	-	271	0
Gm597	1	28776144	28780252	-	4109	0
Gm5697	1	28800238	28802721	-	2484	0
Gm6462	1	28938035	28938340	+	306	0
Gm25586	1	29280964	29281075	-	112	0
Gm22679	1	29301480	29301579	+	100	0
Gm23785	1	29361275	29361370	-	96	0
mmu-mir-6342	1	29421488	29421612	+	125	0
Gm23771	1	29985934	29986043	+	110	0
AC132241.1	1	30333291	30333397	-	107	0
Gm9898	1	30718554	30719961	-	1408	0
Phf3	1	30802342	30863256	-	60915	0
Ptp4a1	1;1;1;1;1;1	30940303;30941947;30942891;30943221;30946266;30946544	30949770;30946426;30949757;30944304;30949308;30949587	-;-;-;-;-;-	9468	0
Gm5698	1;1	30976950;30977243	30978965;30977968	-;-	2016	0
Gm9458	1	30986225	30986953	-	729	0
Gm5699	1	30997867	30999905	-	2039	0
5S_rRNA	1;1;X;3;5;6;10;10;8;9;11;13;12;18	31122725;90327312;162237099;96485161;131577987;23519746;41408173;44668384;76619155;96495132;107851745;96897276;12682514;75023856	31122862;90327418;162237226;96485277;131578109;23519856;41408277;44668494;76619282;96495213;107851856;96897390;12682618;75023947	-;+;+;+;+;+;-;+;-;-;+;+;-;+	1574	0
4931428L18Rik	1;1	31141078;31202942	31222611;31222661	-;-	81584	0
Lgsn	1;1	31176406;31189470	31204656;31203925	+;+	28251	0
Pih1d3	1	31222839	31224287	+	1449	0
Gm26145	1	31259593	31259719	-	127	0
Gm6489	1	31286945	31287706	+	762	0
Gm10307	1	31615458	31616843	+	1386	0
Gm23032	1	31656632	31656738	-	107	0
Gm7910	1	31736056	31736892	+	837	0
Khdrbs2	1	32172806	32657738	+	484933	0
Gm25814	1	32213133	32213239	-	107	0
Gm9839	1	32519563	32520999	-	1437	0
Gm5415	1	32543546	32547293	-	3748	0
Gm24732	1	32568359	32568421	-	63	0
Gm23024	1	32726639	32726930	+	292	0
Gm24901	1	33191993	33192102	+	110	0
Gm25792	1	33293676	33293775	+	100	0
Gm23453	1	33422733	33422838	+	106	0
Prim2	1	33453811	33669786	-	215976	0
1700001G17Rik	1	33669843	33670712	+	870	0
Rab23	1;1;1;1;1;1;1;1;1	33719882;33719887;33719909;33719910;33720138;33720408;33734531;33736657;33738137	33742564;33726891;33742560;33725476;33735354;33740709;33739458;33739370;33739583	+;+;+;+;+;+;+;+;+	22683	0
Bag2	1;1	33745484;33746739	33757794;33748719	-;-	12311	0
Zfp451	1;1;1;1;1;1;1;1;1;1	33760472;33761544;33761545;33767619;33779896;33782178;33786454;33792136;33803430;33813526	33814576;33814595;33814385;33814427;33814426;33814209;33800767;33814569;33814428;33814534	-;-;-;-;-;-;-;-;-;-	54124	0
Gm15455	1;1	33835899;33836122	33838914;33838680	-;-	3016	0
Bend6	1;1;1;1;1	33852052;33852052;33852052;33863171;33873759	33907816;33907790;33907790;33883842;33883488	-;-;-;-;-	55765	0
Dst	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	33908225;33908225;34005883;34005883;34006127;34006127;34011825;34011825;34011825;34089292;34121250;34160253;34161924;34293455;34293455;34294446	34308344;34183904;34117482;34137134;34135155;34137135;34307628;34308652;34308650;34119153;34154521;34183904;34165401;34303463;34307644;34306651	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	400428	0
Gm23792	1	33981410	33981502	-	93	0
Gm26788	1	34165856	34178271	-	12416	0
D630036G22Rik	1	34236596	34238820	+	2225	0
Mir5103	1	34433121	34433199	-	79	0
Ccdc115	1	34436671	34439672	-	3002	0
Imp4	1;1;1;1;1;1;1	34439851;34439905;34439905;34439937;34439953;34440041;34443571	34445736;34443948;34443856;34444027;34443455;34444514;34444059	+;+;+;+;+;+;+	5886	0
Ptpn18	1	34459746	34473775	+	14030	0
Prss39	1	34498430	34503062	+	4633	0
Cfc1	1	34535648	34544311	+	8664	0
Prss40	1;1	34543975;34552334	34560943;34560920	-;-	16969	0
1700101I19Rik	1	34579224	34579613	-	390	0
Amer3	1	34579693	34590938	+	11246	0
Arhgef4	1;1;1;1;1;1;1	34678188;34732115;34750881;34801704;34801721;34801722;34801741	34812739;34811829;34807144;34813309;34809218;34806698;34808911	+;+;+;+;+;+;+	135122	0
C230030N03Rik	1	34723084	34724032	+	949	0
Fam168b	1;1;1;1	34813219;34813219;34813221;34828642	34843050;34843050;34843065;34843065	-;-;-;-	29847	0
Plekhb2	1;1;1	34849976;34849992;34851837	34873956;34879580;34863475	+;+;+	29605	0
Gm25096	1	35178956	35179084	-	129	0
Gm25634	1	35761602	35761706	+	105	0
Hs6st1	1	36068400	36106446	+	38047	0
Uggt1	1;1;1;1;1;1;1;1;1;1	36141530;36143482;36143486;36146157;36161747;36162226;36163379;36179254;36185887;36195975	36244305;36165811;36244161;36150524;36173473;36182634;36164959;36244107;36210030;36208204	-;-;-;-;-;-;-;-;-;-	102776	0
mmu-mir-6897	1	36144252	36144313	-	62	0
Neurl3	1	36264602	36273425	-	8824	0
Arid5a	1;1;1;1;1;1;1;1;1;1;1;1;1;1	36307733;36307754;36307754;36307754;36307754;36307754;36307754;36307754;36307754;36307754;36307769;36307779;36315992;36317027	36319203;36319887;36320526;36320528;36321071;36322988;36324029;36317442;36318288;36319214;36322988;36316578;36318136;36318132	+;+;+;+;+;+;+;+;+;+;+;+;+;+	16297	0
Kansl3	1	36335730	36369181	-	33452	0
mmu-mir-6898	1	36348682	36348758	-	77	0
Fer1l5	1;1	36372291;36416888	36421909;36422110	+;+	49820	0
Lman2l	1;1;1;1;1;1	36422065;36423186;36423186;36423186;36424506;36428392	36445271;36441872;36445271;36445271;36428366;36445271	-;-;-;-;-;-	23207	0
Cnnm4	1	36471620	36508764	+	37145	0
Cnnm3	1;1;1;1	36511867;36511867;36513097;36520761	36528237;36528237;36520435;36525600	+;+;+;+	16371	0
Ankrd23	1	36530534	36535729	-	5196	0
Ankrd39	1	36538173	36547201	-	9029	0
Sema4c	1;1;1;1;1;1;1;1	36548642;36548642;36548642;36548642;36551726;36553224;36554400;36555932	36558349;36558349;36557526;36557557;36552894;36554230;36557534;36558250	-;-;-;-;-;-;-;-	9708	0
D430040D24Rik	1	36558359	36565613	+	7255	0
Fam178b	1;1;1;1;1;1;1	36562694;36562696;36562696;36562696;36562696;36564867;36599963	36683183;36600222;36600411;36589317;36593332;36587687;36683183	-;-;-;-;-;-;-	120490	0
Gm6428	1	36601802	36602146	+	345	0
Gm24133	1	36663965	36664039	+	75	0
Cox5b	1	36691487	36693385	+	1899	0
Actr1b	1;1;1;1;1;1;1	36699202;36701213;36701672;36701763;36701784;36702482;36706548	36710008;36701651;36702549;36709678;36714422;36707167;36709919	-;-;-;-;-;-;-	15221	0
Zap70	1	36761861	36782816	+	20956	0
Gm18828	1;1	36764863;36765018	36765172;36765874	-;-	1012	0
Tmem131	1	36792191	36939527	-	147337	0
Rpl12-ps1	1	36957930	36958427	-	498	0
n-R5s210	1	37005439	37005557	+	119	0
Vwa3b	1;1;1;1;1;1	37026596;37029304;37029316;37029384;37153844;37153849	37076996;37063649;37076995;37076725;37187604;37187605	+;+;+;+;+;+	84163	0
Cnga3	1;1	37218336;37219262	37241940;37263384	+;+	45049	0
Inpp4a	1;1;1;1;1;1;1;1;1;1;1	37299865;37299893;37299893;37299915;37300308;37357919;37357919;37369217;37369217;37369221;37377672	37348512;37408289;37410736;37408289;37399557;37410736;37408259;37404434;37404442;37404439;37380075	+;+;+;+;+;+;+;+;+;+;+	110872	0
4930439A04Rik	1;1	37329667;37333539	37334156;37334172	-;-	4506	0
Coa5	1	37417084	37430103	-	13020	0
Unc50	1;1;1;1;1	37430170;37430177;37430186;37430202;37431344	37439124;37437478;37438984;37438987;37437612	+;+;+;+;+	8955	0
Mgat4a	1;1;1;1;1;1	37439340;37439340;37443716;37444320;37462913;37462916	37541016;37536235;37536404;37496130;37496133;37496095	-;-;-;-;-;-	101677	0
4930594C11Rik	1	37487193	37488982	-	1790	0
2010300C02Rik	1;1;1	37611677;37611677;37637986	37720085;37625242;37719795	-;-;-	108409	0
4930556I23Rik	1	37614259	37615372	+	1114	0
Tsga10	1;1;1;1;1;1;1	37754572;37760823;37760823;37801463;37832406;37833435;37840062	37865079;37865298;37855374;37855347;37864836;37865073;37843721	-;-;-;-;-;-;-	110727	0
Gm26805	1	37865299	37871388	+	6090	0
Lipt1	1;1;1;1	37871738;37872206;37872374;37872562	37875343;37877387;37875460;37875554	+;+;+;+	5650	0
Mitd1	1;1;1;1;1	37874801;37878729;37878890;37878988;37881929	37890407;37890411;37880118;37881868;37890276	-;-;-;-;-	15611	0
Mrpl30	1;1;1;1	37890477;37890533;37891828;37897256	37898535;37893246;37893984;37898125	+;+;+;+	8059	0
Lyg2	1	37905921	37916493	-	10573	0
Gm15457	1	37933596	37954136	+	20541	0
Lyg1	1;1;1	37946736;37946736;37946738	37957759;37948999;37957759	-;-;-	11024	0
Gm23409	1	37973967	37974203	+	237	0
Txndc9	1;1;1;1;1;1	37983867;37987394;37987643;37989986;37990258;37995124	37997315;37997346;37997206;37997243;37996658;37997208	-;-;-;-;-;-	13480	0
Eif5b	1	37998010	38055579	+	57570	0
Rev1	1	38052787	38129662	-	76876	0
Aff3	1;1;1;1;1;1	38177326;38177327;38179243;38181262;38335431;38535159	38627185;38664955;38627201;38197443;38664955;38664955	-;-;-;-;-;-	487630	0
Gm16150	1;1	38235420;38239700	38245603;38246666	+;+	11247	0
Gm16151	1	38307902	38311930	+	4029	0
Gm16152	1;1	38384949;38388829	38393974;38390244	+;+	9026	0
Lonrf2	1;1	38793669;38794509	38836090;38821215	-;-	42422	0
Chst10	1	38863877	38898160	-	34284	0
Nms	1;1	38939149;38939203	38950278;38948643	+;+	11130	0
Pdcl3	1	38987814	38997236	+	9423	0
mmu-mir-6349	1	39186896	39186992	-	97	0
Npas2	1;1;1	39193731;39194212;39341555	39287615;39363234;39345466	+;+;+	169504	0
Gm20428	1	39276283	39276565	-	283	0
Gm3617	1	39314899	39315453	+	555	0
Rpl31	1;1;1	39367851;39367851;39367851	39371908;39371908;39371908	+;+;+	4058	0
Tbc1d8	1	39371499	39478747	-	107249	0
Gm24826	1	39519533	39519747	+	215	0
Cnot11	1;1;1	39534992;39535802;39538245	39546881;39546873;39546483	+;+;+	11890	0
Gm15832	1	39547570	39552002	-	4433	0
Snord89	1	39548745	39548854	-	110	0
Rnf149	1;1	39551296;39555605	39577405;39558757	-;-	26110	0
Gm23722	1	39573746	39573875	-	130	0
Creg2	1	39618406	39651182	-	32777	0
D930019O06Rik	1	39650176	39657390	+	7215	0
Rfx8	1;1	39665306;39680932	39720997;39691871	-;-	55692	0
Gm3646	1	39804141	39805332	-	1192	0
Map4k4	1;1	39900913;39900913	40026310;40026310	+;+	125398	0
Gm16894	1	40076228	40085853	-	9626	0
Il1r2	1	40084768	40125219	+	40452	0
Il1r1	1;1	40225080;40266586	40316177;40316198	+;+	91119	0
Il1rl2	1	40324627	40365471	+	40845	0
Il1rl1	1;1;1;1;1	40429570;40436589;40439627;40439776;40440628	40446723;40441407;40465415;40448148;40465396	+;+;+;+;+	35846	0
Il18r1	1;1;1	40465552;40466006;40466006	40491578;40500854;40500833	+;+;+	35303	0
Il18rap	1;1;1;1	40515362;40515405;40515448;40541692	40551705;40539485;40526917;40547903	+;+;+;+	36344	0
Slc9a4	1	40580227	40630731	+	50505	0
Slc9a2	1	40681712	40768885	+	87174	0
Mfsd9	1;1;1	40772038;40772041;40781230	40790663;40790687;40790657	-;-;-	18650	0
Tmem182	1	40805601	40855944	+	50344	0
Gm5973	1	40863734	40864219	-	486	0
Gm9915	1	42229726	42231108	+	1383	0
2610017I09Rik	1;1;1;1;1;1;1;1;1	42590771;42648162;42648198;42648198;42648201;42648202;42648203;42648378;42693027	42694808;42663602;42693115;42693153;42694825;42651679;42667672;42666912;42694825	-;-;-;-;-;-;-;-;-	104055	0
Gm20646	1	42694925	42740968	+	46044	0
Pou3f3	1	42697146	42700207	+	3062	0
2610207O16Rik	1	42707061	42713454	-	6394	0
Mrps9	1	42851233	42905682	+	54450	0
Gm23126	1	42866685	42866818	-	134	0
Gpr45	1;1;1	42952872;42953139;43032060	43035449;43030781;43033605	+;+;+	82578	0
Gm24001	1	43036845	43036929	+	85	0
Tgfbrap1	1	43047269	43098622	-	51354	0
8430432A02Rik	1	43092588	43093835	+	1248	0
AI597479	1	43098710	43115947	+	17238	0
Fhl2	1	43123074	43163961	-	40888	0
Gm8210	1	43189156	43189638	+	483	0
Nck2	1;1;1;1	43445751;43445751;43445751;43457273	43570515;43462194;43570515;43462222	+;+;+;+	124765	0
1500015O10Rik	1	43730602	43742578	+	11977	0
Uxs1	1;1;1;1;1;1;1;1	43746966;43749512;43765007;43771730;43771730;43774866;43780118;43790631	43827800;43827741;43827800;43827750;43827016;43827762;43827762;43827774	-;-;-;-;-;-;-;-	80835	0
Gm16103	1	43785910	43787188	+	1279	0
Gm26352	1	43902928	43903052	+	125	0
